time,Installation and Configuration,Data Collection,Data Processing,Operation and Maintenance
2019/2/13 10:00,0,0.136792362,0.335703909,0.51963884
2019/2/14 4:08,0.51349932,0,0.118151762,0.35658664
2019/2/14 13:10,0,0,0.653040051,0.3312334
2019/2/14 13:24,0,0,0,0.98867595
2019/2/17 4:06,0.989540756,0,0,0
2019/2/20 10:54,0,0,0.994011223,0
2019/2/21 16:09,0.313109696,0.679017007,0,0
2019/2/26 7:11,0.6571243,0.146380872,0.192692935,0
2019/2/27 0:54,0,0.221512496,0.763798177,0
2019/3/1 15:00,0,0,0.486826628,0.5103041
2019/3/1 15:21,0,0,0.989128888,0
2019/3/2 9:10,0.073538899,0.548629,0.196549505,0.17901333
2019/3/4 5:37,0.976635993,0,0,0
2019/3/5 3:07,0,0.884143054,0.109106794,0
2019/3/7 14:17,0.417902768,0,0.579736501,0
2019/3/9 16:50,0,0,0.995025039,0
2019/3/11 21:31,0,0,0.980268598,0
2019/3/12 18:40,0,0.5040407,0,0.4902635
2019/3/13 17:49,0,0.997044146,0,0
2019/3/15 0:06,0,0,0.985065222,0
2019/3/19 17:28,0.530354738,0,0.462723315,0
2019/3/19 20:36,0.299426079,0,0.69631356,0
2019/3/20 8:06,0.398459256,0,0.58780998,0
2019/3/20 14:19,0,0,0.971967101,0
2019/3/21 5:27,0,0,0,0.99334073
2019/3/21 7:24,0.760296822,0,0.228392899,0
2019/3/21 21:31,0,0.118366651,0.684444129,0.18399675
2019/3/22 8:33,0,0.989612699,0,0
2019/3/24 21:38,0,0,0.994535737,0
2019/3/26 15:05,0,0,0.990135252,0
2019/3/27 1:59,0,0,0.985900879,0
2019/3/27 5:42,0,0.974525094,0,0
2019/3/28 0:42,0.814479947,0,0.169772044,0
2019/3/28 2:19,0,0,0.6223519,0.36795717
2019/3/28 5:57,0.066758156,0,0.922806144,0
2019/3/29 5:51,0,0,0.993604511,0
2019/3/29 7:52,0.170486793,0.205151469,0.620952785,0
2019/3/29 15:12,0,0,0.848261356,0.15010332
2019/4/1 19:32,0.226271078,0,0.76079163,0
2019/4/2 11:42,0,0.290361881,0.700800031,0
2019/4/3 4:04,0,0,0.986749947,0
2019/4/3 9:15,0.027792593,0.02853552,0.92452544,0.01914648
2019/4/3 9:36,0.477269262,0.49721691,0,0
2019/4/3 11:30,0.11911799,0,0.867572784,0
2019/4/9 17:07,0.465746969,0,0.174418554,0.35669506
2019/4/9 21:45,0,0.298157036,0.69488138,0
2019/4/11 9:10,0.42727983,0,0.563871682,0
2019/4/14 2:44,0.398775041,0,0.596989721,0
2019/4/15 18:45,0,0,0.995113522,0
2019/4/16 12:51,0,0,0.991825223,0
2019/4/17 5:47,0,0,0.997374237,0
2019/4/17 12:54,0,0.988289535,0,0
2019/4/18 12:31,0.503885567,0,0.490417331,0
2019/4/18 19:15,0.55120635,0,0.445439249,0
2019/4/18 20:29,0,0,0.988019109,0
2019/4/19 18:58,0,0.239835948,0.757685333,0
2019/4/21 7:50,0.035200827,0,0.960891604,0
2019/4/21 8:12,0,0.916650951,0.074272722,0
2019/4/23 8:48,0.282780766,0.28991735,0.420233041,0
2019/4/24 17:35,0,0,0.965091884,0
2019/4/25 12:30,0,0,0.9920578,0
2019/4/26 20:39,0,0,0.684389353,0.30906025
2019/4/27 17:55,0,0,0.995551258,0
